,username,date,text,word_number,no_stop_words
95,Dumontherium,2020-06-29 13:23:19," #Municipales2020 Sur la base de 99% des résultats connus, dans les communes de 1.000 habitants et plus : Listes Gauche (dont écologistes) : 38% Listes Droite : 29,1% Listes Centre : 15,9% Listes Extrême-droite : 2,7% Listes Divers ou sans étiquettes : 14,3% ",34,"['municipales2020', 'base', '99', 'résultats', 'connus', 'communes', '1', '000', 'habitants', 'plus', 'listes', 'gauche', 'dont', 'écologistes', '38', 'listes', 'droite', '29', '1', 'listes', 'centre', '15', '9', 'listes', 'extrême', 'droite', '2', '7', 'listes', 'divers', 'sans', 'étiquettes', '14', '3']"
96,LesEchos,2020-06-29 13:23:04,Le second tour des #Municipales2020 a été marqué par une abstention record et une forte percée des écologistes. Voici ce qu'il faut retenir ,13,"['second', 'tour', 'municipales2020', 'a', 'marqué', 'abstention', 'record', 'forte', 'percée', 'écologistes', 'voici', 'faut', 'retenir']"
97,womandream,2020-06-29 13:22:37,Pan pan cul cul aux #municipales2020.les @lesRepublicains reconnaissent #LR +#LaREM pas vraiment une bonne idée..n'est-ce pas #AdeCourson Levallois ?...,14,"['pan', 'pan', 'cul', 'cul', 'municipales2020', 'lesrepublicains', 'reconnaissent', 'lr', 'larem', 'vraiment', 'bonne', 'idée', 'adecourson', 'levallois']"
98,BabuFrik75,2020-06-29 13:22:20,"Coucou @RNational_off, @MLP_officiel, @J_Bardella ou encore @SebLecornu « Perpignaaaaaaaaannnn ». Et sinon, on parle du bilan national ? #Municipales #municipales2020 ",13,"['coucou', 'rnational_off', 'mlp_officiel', 'j_bardella', 'encore', 'seblecornu', 'perpignaaaaaaaaannnn', 'sinon', 'parle', 'bilan', 'national', 'municipales', 'municipales2020']"
99,Bob44322940,2020-06-29 13:22:01,"“La grille de lecture de l’épidémie s’est faite autour de l’ écologie, avec questionnements autour des modes de vie &amp; de consommation qui mettent à trop rudes épreuves nos écosystèmes” Municipales2020 https://www.lemonde.fr/politique/article/2020/06/29/municipales-2020-une-vague-verte-historique-deferle-sur-les-grandes-villes-francaises_6044496_823448.html",37,"['grille', 'lecture', 'épidémie', 'faite', 'autour', 'écologie', 'questionnements', 'autour', 'modes', 'vie', 'amp', 'consommation', 'mettent', 'trop', 'rudes', 'épreuves', 'écosystèmes', 'municipales2020', 'https', 'www', 'lemonde', 'fr', 'politique', 'article', '2020', '06', '29', 'municipales', '2020', 'vague', 'verte', 'historique', 'deferle', 'grandes', 'villes', 'francaises_6044496_823448', 'html']"
100,AliceFergon,2020-06-29 13:21:02,"“La grille de lecture de l’épidémie s’est faite autour de l’ #écologie, avec questionnements autour des modes de vie &amp; de consommation qui mettent à trop rudes épreuves nos écosystèmes” #Municipales2020 ",18,"['grille', 'lecture', 'épidémie', 'faite', 'autour', 'écologie', 'questionnements', 'autour', 'modes', 'vie', 'amp', 'consommation', 'mettent', 'trop', 'rudes', 'épreuves', 'écosystèmes', 'municipales2020']"
101,Tonysop64908272,2020-06-29 13:21:02,#hidalgo #mairiedeparis #Municipales2020 #MunicipalesParis,4,"['hidalgo', 'mairiedeparis', 'municipales2020', 'municipalesparis']"
102,outremers360,2020-06-29 13:20:52," [#ARTICLE] #Municipales2020: En #Guadeloupe,le second tour signe la fin de l'ère #Bangou et de l'ère Chevry-Penchard http://bit.ly/2YGcjac",16,"['article', 'municipales2020', 'guadeloupe', 'second', 'tour', 'signe', 'fin', 'ère', 'bangou', 'ère', 'chevry', 'penchard', 'http', 'bit', 'ly', '2ygcjac']"
103,VagueVerteMedia,2020-06-29 13:20:16,Félicitations à @L_Moncondhuy et toute l’équipe écologiste à Poitiers ! Vous nous montrez la voie #VagueVerte #Municipales #Municipales2020 ,11,"['félicitations', 'l_moncondhuy', 'toute', 'équipe', 'écologiste', 'poitiers', 'montrez', 'voie', 'vagueverte', 'municipales', 'municipales2020']"
104,VL_SZ,2020-06-29 13:20:12,On ne votait pas qu'aux #Municipales2020 hier : présidentielle historique en #Pologne avec un parti majoritaire fragilisé. Une élection cruciale pour les équilibres politiques de l'#UE. 2nd tour dans deux semaines !,18,"['votait', 'municipales2020', 'hier', 'présidentielle', 'historique', 'pologne', 'parti', 'majoritaire', 'fragilisé', 'élection', 'cruciale', 'équilibres', 'politiques', 'ue', '2nd', 'tour', 'deux', 'semaines']"
105,brunet_josselin,2020-06-29 13:20:02,"Pas de commentaire sur Rennes, Nantes, Lille, Nancy, Bordeaux, Montpellier, Lyon, Grenoble, Le Mans, Avignon, Marseille, Paris ? #Municipales2020 #electionsmunicipales #electionsMunicipales2020",16,"['commentaire', 'rennes', 'nantes', 'lille', 'nancy', 'bordeaux', 'montpellier', 'lyon', 'grenoble', 'mans', 'avignon', 'marseille', 'paris', 'municipales2020', 'electionsmunicipales', 'electionsmunicipales2020']"
106,2107Huggy,2020-06-29 13:19:46,"L'amertume indécente de la défaite! Tu es le symbole de la victimisation à outrance, jamais responsable de quoi que ce soit, toujours la faute des autres, pas de ta médiocrité! Juste un mot : DÉGAGE ! Espérant ne plus te revoir ! #municipales2020 #jamaisdemafaute #islamiste",22,"['amertume', 'indécente', 'défaite', 'symbole', 'victimisation', 'outrance', 'jamais', 'responsable', 'quoi', 'toujours', 'faute', 'autres', 'médiocrité', 'juste', 'mot', 'dégage', 'espérant', 'plus', 'revoir', 'municipales2020', 'jamaisdemafaute', 'islamiste']"
107,K_Das_Schloss,2020-06-29 13:19:00,"Lol, pour atténuer la débâcle #LREM aux #municipales2020 #electionsMunicipales2020 certains médias font apparaître des membres du gouvernement perdants mais élus dans l’opposition. Du jamais vu.",17,"['lol', 'atténuer', 'débâcle', 'lrem', 'municipales2020', 'electionsmunicipales2020', 'certains', 'médias', 'font', 'apparaître', 'membres', 'gouvernement', 'perdants', 'élus', 'opposition', 'jamais', 'vu']"
108,SebMarcelle,2020-06-29 13:18:57,Municipales à #Marseille : Michèle Rubirola devra négocier à gauche pour trouver une majorité et être élue maire #municipales2020 ,13,"['municipales', 'marseille', 'michèle', 'rubirola', 'devra', 'négocier', 'gauche', 'trouver', 'majorité', 'être', 'élue', 'maire', 'municipales2020']"
109,transmooc,2020-06-29 13:18:56,Post #CoroNavirus Avant #Municipales2020 Top13 Des #PassionsTristes Chez #BigPharma #GiletsJaunes Institut Du Manuel #SurQuiTaper &amp; Distribuer Des Médailles En PeauDeChagrin,16,"['post', 'coronavirus', 'avant', 'municipales2020', 'top13', 'passionstristes', 'chez', 'bigpharma', 'giletsjaunes', 'institut', 'manuel', 'surquitaper', 'amp', 'distribuer', 'médailles', 'peaudechagrin']"
110,mbenabdallah68,2020-06-29 13:18:51,"Du jamais vu dans l'histoire de la 5e République, un premier ministre qui est candidat dans sa ville et qui se fait réélire maire cette histoire c'est celle de @EPhilippePM #municipales2020 #LeHavre",18,"['jamais', 'vu', 'histoire', '5e', 'république', 'premier', 'ministre', 'candidat', 'ville', 'fait', 'réélire', 'maire', 'cette', 'histoire', 'celle', 'ephilippepm', 'municipales2020', 'lehavre']"
111,alvarogarhdez,2020-06-29 13:18:49,".@libe actualiza el mapa de las #Municipales2020 francesas para diferenciar las ciudades donde ha ganado una coalición verde de izquierdas de donde lo ha hecho el PS en solitario. El Partido Socialista francés solamente gobernará en Lille, Le Mans, Dijon y Saint-Denis. ",36,"['libe', 'actualiza', 'el', 'mapa', 'las', 'municipales2020', 'francesas', 'para', 'diferenciar', 'las', 'ciudades', 'donde', 'ha', 'ganado', 'una', 'coalición', 'verde', 'izquierdas', 'donde', 'lo', 'ha', 'hecho', 'el', 'ps', 'solitario', 'el', 'partido', 'socialista', 'francés', 'solamente', 'gobernará', 'lille', 'mans', 'dijon', 'saint', 'denis']"
